课程名称,课程代码,课程类别,授课语言,授课教师,计分方式,学分,上课信息,容量/已选,开课学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,杨少曼,十三级制,2.0,"1-16周,星期一第7-8节 商学院101",90/7,马克思主义学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,杨少曼,十三级制,2.0,"1-16周,星期二第3-4节 智华楼204",70/7,马克思主义学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,杨少曼,十三级制,2.0,"1-16周,星期二第5-6节 智华楼107",130/6,马克思主义学院
习近平新时代中国特色社会主义思想概论,IPE100,通识必修课,中文,杨少曼,十三级制,2.0,"1-16周,星期二第7-8节 智华楼107",130/9,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,王春英,十三级制,2.0,"1-16周,星期一第5-6节 商学院102",90/11,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,王春英,十三级制,2.0,"1-16周,星期一第7-8节 商学院102",90/11,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,王春英,十三级制,2.0,"1-16周,星期一第9-10节 智华楼108",105/17,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,王春英,十三级制,2.0,"1-16周,星期二第3-4节 一教108",85/6,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,王春英,十三级制,2.0,"1-16周,星期二第5-6节 一教108",85/3,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,王春英,十三级制,2.0,"1-16周,星期二第7-8节 一教108",85/8,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,胡光霁,十三级制,2.0,"1-16周,星期三第3-4节 商学院102",90/1,马克思主义学院
中国近现代史纲要,IPE103,通识必修课,中文,胡光霁,十三级制,2.0,"1-16周,星期四第3-4节 商学院102",90/2,马克思主义学院
毛泽东思想和中国特色社会主义理论体系概论,IPE104,通识必修课,中文,滕明政,十三级制,3.0,"1-16周,星期一第7-8节 一教107; 1-15单周,星期三第9-10节 一教107",100/27,马克思主义学院
毛泽东思想和中国特色社会主义理论体系概论,IPE104,通识必修课,中文,滕明政,十三级制,3.0,"1-16周,星期一第9-10节 一教107; 2-16双周,星期三第9-10节 一教107",100/25,马克思主义学院
毛泽东思想和中国特色社会主义理论体系概论,IPE104,通识必修课,中文,尹玮煜,十三级制,3.0,"1-16周,星期二第5-6节 一教107; 1-15单周,星期四第3-4节 一教107",100/16,马克思主义学院
毛泽东思想和中国特色社会主义理论体系概论,IPE104,通识必修课,中文,尹玮煜,十三级制,3.0,"1-16周,星期二第7-8节 一教107; 2-16双周,星期四第3-4节 一教107",100/32,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,马俊军,十三级制,2.0,"1-16周,星期一第3-4节 商学院103",81/0,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,马俊军,十三级制,2.0,"1-16周,星期一第5-6节 商学院103",81/0,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,马俊军,十三级制,2.0,"1-16周,星期二第5-6节 商学院103",81/1,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,马俊军,十三级制,2.0,"1-16周,星期三第3-4节 商学院103",81/0,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,马俊军,十三级制,2.0,"1-16周,星期三第5-6节 商学院103",81/2,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,马俊军,十三级制,2.0,"1-16周,星期四第3-4节 智华楼102",75/0,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,兰美荣,十三级制,2.0,"1-16周,星期一第5-6节 智华楼204",70/1,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,兰美荣,十三级制,2.0,"1-16周,星期一第7-8节 智华楼204",70/0,马克思主义学院
思想道德与法治,IPE111,通识必修课,中文,兰美荣,十三级制,2.0,"1-16周,星期一第9-10节 智华楼207",100/5,马克思主义学院
马克思主义基本原理,IPE112,通识必修课,中文,杨晗旭,十三级制,2.0,"1-16周,星期一第9-10节 智华楼107",110/18,马克思主义学院
马克思主义基本原理,IPE112,通识必修课,中文,杨晗旭,十三级制,2.0,"1-16周,星期二第7-8节 商学院102",80/12,马克思主义学院
马克思主义基本原理,IPE112,通识必修课,中文,杨晗旭,十三级制,2.0,"1-16周,星期二第9-10节 智华楼107",110/13,马克思主义学院
马克思主义基本原理,IPE112,通识必修课,中文,尹玮煜,十三级制,2.0,"1-16周,星期三第3-4节 智华楼208",120/7,马克思主义学院
马克思主义基本原理,IPE112,通识必修课,中文,尹玮煜,十三级制,2.0,"1-16周,星期三第5-6节 商学院101",90/2,马克思主义学院
马克思主义基本原理,IPE112,通识必修课,中文,尹玮煜,十三级制,2.0,"1-16周,星期三第7-8节 商学院101",90/4,马克思主义学院
数学分析I,MA101a,通识必修课,中文,付云皓,十三级制,5.0,"1-16周,星期一第1-2节 智华楼206; 1-16周,星期三第3-4节 智华楼206",90/0,数学系
数学分析I,MA101a,通识必修课,双语,刘博辰,十三级制,5.0,"1-16周,星期二第5-6节 智华楼106; 1-16周,星期五第7-8节 智华楼106",90/1,数学系
高等代数 I,MA107,通识必修课,中文,CAI HENG LI(李才恒),十三级制,4.0,"1-16周,星期二第1-2节 智华楼208; 1-16周,星期四第3-4节 智华楼208",100/0,数学系
普通物理学（上）,PHY101,通识必修课,双语,刘畅,十三级制,5.0,"1-16周,星期二第3-4节 智华楼107; 1-16周,星期四第1-2节 智华楼107; 1-15单周,星期五第7-8节 智华楼107",100/0,物理系
植物应用之插花技艺,BIOS222,通识选修课,中文,"余春红,张敏",二级制,1.0,"2-16双周,星期一第5-8节 慧园2栋507",20/4,生物系
植物应用之插花技艺,BIOS222,通识选修课,中文,"马小英,张敏",二级制,1.0,"2-16双周,星期二第5-8节 慧园2栋507",20/0,生物系
化学与探索,CH104,通识选修课-专业导论类,双语,"颜瑷珲,房芳,于月娜,王春燕,刘华伟,李晓华,朱秀珍,汤小菊,何绮婷",二级制,1.0,"1-15单周,星期一第5-8节 理学院C1028",40/1,化学系
基础西班牙语,CLE048,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期一第5-6节 一教303",25/14,语言中心
基础西班牙语,CLE048,通识选修课-外语类,英文,MIGUEL ANGEL MARQUEZ MARTINEZ,二级制,2.0,"1-16周,星期一第7-8节 一教303",25/5,语言中心
